TYPE;PSEUDO;DATE;MSG;
2;admin;2024-05-21 13:04:01;admin vous suit.
2;admin;2024-05-21 13:04:01;admin vous suit.
1;admin;2024-05-21 13:04:14;admin vous a envoyé un message.
1;admin;2024-05-21 15:51:48;admin vous a envoyé un message.
1;admin;2024-05-21 15:56:50;admin vous a envoyé un message.
1;admin;2024-05-21 15:56:55;admin vous a envoyé un message.
1;admin;2024-05-21 15:57:14;admin vous a envoyé un message.
1;admin;2024-05-21 16:00:57;admin vous a envoyé un message.
1;admin;2024-05-21 16:01:16;admin vous a envoyé un message.
1;admin;2024-05-21 16:02:38;admin vous a envoyé un message.
1;admin;2024-05-21 16:05:43;admin vous a envoyé un message.
1;admin;2024-05-21 16:06:19;admin vous a envoyé un message.
1;admin;2024-05-21 16:08:02;admin vous a envoyé un message.
1;admin;2024-05-21 16:09:00;admin vous a envoyé un message.
1;admin;2024-05-21 16:09:17;admin vous a envoyé un message.
1;admin;2024-05-21 16:09:33;admin vous a envoyé un message.
1;admin;2024-05-21 16:14:19;admin vous a envoyé un message.
